tax	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	Unclassified	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Oceaniradius;Oceaniradius stylonematis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Oceaniradius	Oceaniradius stylonematis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Stappia;Stappia stellulata	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Stappia	Stappia stellulata
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;Robiginitalea biformata	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	Robiginitalea biformata
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius algicolus	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius algicolus
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;Marinobacter adhaerens	Bacteria	Bacteria_none	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter adhaerens
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Muricauda;Muricauda brasiliensis	Bacteria	Bacteria_none	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda brasiliensis
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium;Roseibium alexandrii	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	Roseibium alexandrii
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia benthica	Bacteria	Bacteria_none	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia benthica
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Bremerella;Bremerella volcania	Bacteria	Bacteria_none	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Bremerella	Bremerella volcania
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Roseovarius;Roseovarius atlanticus	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseovarius	Roseovarius atlanticus
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum	Bacteria	Bacteria_none	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Pyruvatibacter;Pyruvatibacter mobilis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Parvibaculaceae	Pyruvatibacter	Pyruvatibacter mobilis
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria cossartiae	Bacteria	Bacteria_none	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria cossartiae
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nioella;Nioella ostreopsis	Bacteria	Bacteria_none	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nioella	Nioella ostreopsis
